iter	RMSE
0	176.4839556
1	174.5976665
2	173.5131869
3	170.4000005
4	169.2580087
5	168.0012457
6	167.0735234
7	166.2573614
8	165.0675051
9	163.9456522
10	163.0790008
11	162.1187916
12	159.9034054
13	159.199545
14	158.6644192
15	158.2677075
16	157.9125257
17	157.2423147
18	156.5030077
19	155.9514674
20	155.3092075
21	155.0064776
22	154.6712527
23	154.2020991
24	153.6537884
25	153.1441291
26	152.7489399
27	152.3246383
28	151.9737632
29	151.6095436
30	150.0065098
31	149.6395202
32	149.3951024
33	149.0350602
34	148.0366169
35	147.7492781
36	147.4198014
37	147.1180695
38	146.8183127
39	146.5402262
40	146.2949927
41	146.0459001
42	145.8473348
43	145.1472061
44	144.9435571
45	144.5910523
46	144.4174003
47	142.8877579
48	141.737427
49	141.5710696
50	141.436512
51	141.2031879
52	141.0557501
53	139.7081271
54	139.6006412
55	139.5262664
56	139.4576061
57	139.3096964
58	139.170524
59	137.5180783
60	137.2431747
61	136.6628848
62	136.4079031
63	136.3506318
64	135.4455031
65	135.3264885
66	135.1881567
67	135.072493
68	134.3214388
69	134.2199395
70	133.8721835
71	133.6373806
72	132.3769193
73	132.3375288
74	132.2538854
75	132.2011701
76	131.2893064
77	131.2314653
78	131.1824045
79	131.1524093
80	129.7894219
81	129.7049482
82	128.348968
83	128.2844913
84	128.200354
85	128.1314678
86	128.0912488
87	128.0340467
88	127.1510956
89	127.0827427
90	127.0132257
91	126.9479937
92	126.9129687
93	126.8555367
94	125.7062461
95	125.6464333
96	125.5876802
97	124.3520364
98	124.2999528
99	124.2466831
