iter	Passed	Remaining
0	126	12571
1	127	6269
2	128	4166
3	129	3114
4	130	2481
5	131	2060
6	132	1759
7	133	1533
8	134	1358
9	135	1216
10	136	1101
11	137	1004
12	137	922
13	138	852
14	139	791
15	140	737
16	141	690
17	142	648
18	143	610
19	144	576
20	144	545
21	145	517
22	146	489
23	147	465
24	148	444
25	148	424
26	149	405
27	150	387
28	151	371
29	152	355
30	153	341
31	154	327
32	155	314
33	155	302
34	156	291
35	157	280
36	158	269
37	159	260
38	160	250
39	161	241
40	162	233
41	162	225
42	163	217
43	164	209
44	165	202
45	166	195
46	167	189
47	168	182
48	169	176
49	170	170
50	171	164
51	172	159
52	173	153
53	174	148
54	175	143
55	176	138
56	177	133
57	177	128
58	178	124
59	179	119
60	180	115
61	181	111
62	182	107
63	183	102
64	183	99
65	184	95
66	185	91
67	186	87
68	187	84
69	188	80
70	189	77
71	190	73
72	191	70
73	191	67
74	192	64
75	193	61
76	194	58
77	195	55
78	196	52
79	197	49
80	198	46
81	199	43
82	200	40
83	200	38
84	201	35
85	202	33
86	203	30
87	204	27
88	205	25
89	206	22
90	207	20
91	208	18
92	209	15
93	210	13
94	211	11
95	211	8
96	212	6
97	213	4
98	214	2
99	215	0
